Site,Accuracy,Sensitivity,Specificity,PPV,NPV,Balanced Accuracy,AUC,Number of Subjects
CALTECH,0.0,,,,,0.0,N/A,1
LEUVEN_1,1.0,,,,,1.0,N/A,1
LEUVEN_2,0.0,,,,,0.0,N/A,1
MAX_MUN,0.6666666666666666,,,,,0.6666666666666666,N/A,3
NYU,0.8333333333333334,0.75,1.0,1.0,0.6666666666666666,0.875,0.875,6
OLIN,0.0,,,,,0.0,N/A,1
PITT,1.0,,,,,1.0,N/A,1
SDSU,1.0,,,,,1.0,N/A,1
STANFORD,1.0,,,,,1.0,N/A,1
TRINITY,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,6
UCLA_1,0.3333333333333333,1.0,0.0,0.3333333333333333,,0.5,0.5,3
UM_1,0.625,0.5,1.0,1.0,0.4,0.75,0.75,8
USM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6
YALE,1.0,,,,,1.0,N/A,1
Overall,0.675,0.7,0.65,0.6666666666666666,0.6842105263157895,0.675,0.6749999999999999,40
Autism/Non-Autism Count,,40.0,20.0,20.0,,,,
