Site,Accuracy,Sensitivity,Specificity,PPV,NPV,Balanced Accuracy,AUC,Number of Subjects
CALTECH,0.25,0.0,0.3333333333333333,0.0,0.5,0.16666666666666666,0.16666666666666669,4
KKI,0.5714285714285714,1.0,0.3333333333333333,0.45454545454545453,1.0,0.6666666666666666,0.6666666666666667,14
LEUVEN_1,0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,0.5,0.5,3
LEUVEN_2,0.8333333333333334,0.0,0.8333333333333334,0.0,1.0,0.8333333333333334,N/A,6
MAX_MUN,0.5714285714285714,0.75,0.5,0.375,0.8333333333333334,0.625,0.625,14
NYU,0.6190476190476191,0.6521739130434783,0.5789473684210527,0.6521739130434783,0.5789473684210527,0.6155606407322655,0.6155606407322655,42
OLIN,0.625,0.5714285714285714,1.0,1.0,0.25,0.7857142857142857,0.7857142857142857,8
PITT,0.5555555555555556,0.3333333333333333,1.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,9
SBL,0.0,0.0,0.0,0.0,,0.0,N/A,2
SDSU,0.6,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5833333333333333,0.5833333333333334,5
STANFORD,0.875,0.75,1.0,1.0,0.8,0.875,0.875,8
TRINITY,0.6666666666666666,0.6,0.7142857142857143,0.6,0.7142857142857143,0.6571428571428571,0.6571428571428573,12
UCLA_1,0.5,0.2,0.7142857142857143,0.3333333333333333,0.5555555555555556,0.4571428571428572,0.45714285714285713,12
UCLA_2,0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,0.5,0.5,3
UM_1,0.8,0.9,0.7,0.75,0.875,0.8,0.7999999999999999,20
UM_2,0.5,0.0,0.5,0.0,1.0,0.5,N/A,2
USM,0.6363636363636364,0.5333333333333333,0.8571428571428571,0.8888888888888888,0.46153846153846156,0.6952380952380952,0.6952380952380952,22
YALE,0.5833333333333334,0.6,0.5714285714285714,0.5,0.6666666666666666,0.5857142857142856,0.5857142857142856,12
Overall,0.6262626262626263,0.6063829787234043,0.6442307692307693,0.6063829787234043,0.6442307692307693,0.6253068739770868,0.6253068739770866,198
Autism/Non-Autism Count,,198.0,94.0,104.0,,,,
